acc_no,author,title,publisher_info,year,isbn,storage_loc,subject,class_no
B20486,Balanis ©,Antenna Theory,John Wiely & Sons,2002.0,9971512335,TLC-R-7-S-130,Antennas,621.396.67 BAL
B7110,Gould (RG),Communication Satelllite Sytems An overview of the technology,The Institution of Electroics,1976.0,0879420650,TLC-R-7-S-130,Antennas,621.396.67 GOV
B22604,Slater (D),Near-Field Antenna Measurements,Artech House,1991.0,0890063613,TLC-R-7-S-130,Antennas,621.396.67 SLA
B8837,Weeks (WL),Antenna Engeering,Tata McGraw-HILL Publishing Compay LTd,1968.0,,TLC-R-7-S-130,Antennas,621.396.67.WEE
B2989,Seidman (A),Aentenna Roundup V1,Cowan Publishing Corp,1963.0,,TLC-R-7-S-130,Antennas,621.396.67 SEI
B11135,Sherman (SM),Monopuse Principles and Techniques,Artech House,1984.0,0890061378,TLC-R-7-S-130,Antennas,621.396.67 SHE
B22402,Haopt ®,Antenna Arrys,Wiley,2010.0,9788126553938,TLC-R-7-S-130,Antennas,621.396.67 HAU
AUTO-00122,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B22686,Kraus (JD),Antennas,Tata McGraw-HILL Publishing Compay LTd,2003.0,0070532435,TLC-R-7-S-131,Antennas,621.396.67 KRA
B20341,Hansen (RC),Phased Array Antennas,A -Wiely -Interscince Publication,1998.0,047153076X,TLC-R-7-S-131,Antennas,621.396.67 HAN
B13452,Sanders (M),Antennas,north-oxford Academic,1987.0,0946536228,TLC-R-7-S-131,Antennas,621.396.67 SAN
B2441,Wolff (EA),Antenna Analysis,John Wiely & Sons,1966.0,,TLC-R-7-S-131,Antennas,621.396.67 WOL
B11628,IEEE,Test Procedures for antennas,The Institution of Electroics,1979.0,0471080322,TLC-R-7-S-131,Antennas,621.396.67 IEE
B20343,Milligan (TA),Modern Antenna Dsign,Wiley,2005.0,9780471457763,TLC-R-7-S-131,Antennas,621.396.67 MIL
B6070,Collin (RE),Antenna Theory,"McGraw-Hill Book Company ,Inc",1969.0,,TLC-R-7-S-131,Antennas,621.396.67 COL
B20342,Fourikis (V),Phased Array -Based Systems and Applications,John Wiely & Sons,1997.0,,TLC-R-7-S-131,Antennas,621.396.67 FOU
B20196,Kraus (JD),Antennas,Tata McGraw-HILL Publishing Compay LTd,2002.0,0070601852,TLC-R-7-S-131,Antennas,621.396.67 KRA
B1737,Hansen (RC),Microwave Scanning anteannas,Acadmic Press,1964.0,,TLC-R-7-S-131,Antennas,621.396.67 HAN
B4093,Seidman (A),CG Amature Radio Antenna Roundup,,1963.0,,TLC-R-7-S-131,Antennas,621.396.67 SEI
B11219,Bleazard (GB),Introducing Satellite Communications,NCC Publications,1985.0,085124719,TLC-R-7-S-131,Antennas,621.396.67 BLE
B11781,Collin (RE),Antennas And Radiowave Propagtion,"McGraw-Hill Book Company ,Inc",1985.0,0070118086,TLC-R-7-S-131,Antennas,621.396.67 COL
B14647,Lewis (EG),Communications services Via satellite,BSP Professional books,1988.0,0632018879,TLC-R-7-S-131,Antennas,621.396.67 LEW
B21378,Bolic (M),RFID Systems,Wiley,,978047076028,TLC-R-7-S-131,Antennas,621.396.67.BOL
B18881,Saunders (SR),Antennas and Propagation for Wireless Communication,John Wiely & Sons,1999.0,0471986097,TLC-R-7-S-131,Antennas,621.396.67 SAU
B13769,Compton (RT),Adaptive Antennas,Prentice Hall,1988.0,0130041513,TLC-R-7-S-131,Antennas,621.396.67 COM
B20484,Bhattacharyya (AK),Phased Array Antennas,Wiley,2006.0,9780471727576,TLC-R-7-S-131,Antennas,621.396.67 BHA
B13497,Wood (PJ),REflector antennas Analysis and Design,Peter Peregrinus ltd,1980.0,0906048214,TLC-R-7-S-131,Antennas,621.369.67 WOO
AUTO-00123,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B22512,Melvin (LW),Priniciples of Modern Rader,Scitech Publishing,2014.0,9781891121548,TLC-R-7-S-132,RADAR,621.396.96 MEL
B22507,Richards (MA),Priniciples of Modern Rader,Scitech Publishing,2010.0,9781891121524,TLC-R-7-S-132,RADAR,621.396.96 RIC
B22508,Richards (MA),Priniciples of Modern Rader,Scitech Publishing,2010.0,9781891121524,TLC-R-7-S-132,RADAR,621.396.96 RIC
B22511,Melvin (LW),Priniciples of Modern Rader,Scitech Publishing,2014.0,9781891121548,TLC-R-7-S-132,RADAR,621.396.96 MEL
B22510,Melvin (LW),Priniciples of Modern Rader,Scitech Publishing,2013.0,9781891121531,TLC-R-7-S-132,RADAR,621.396. 96 MEL
B22509,Melvin (LW),Priniciples of Modern Rader,Scitech Publishing,2013.0,9781891121531,TLC-R-7-S-132,RADAR,621.396.96 MEL
B22765,Jeffery (TW),Phased-Array Radar Design,Scitech Publishing,2009.0,9781891121692,TLC-R-7-S-132,RADAR,621.396.96 JEF
B22587,Ramachandra (KV),Kalman Filtering Techniques for Rader TRACKing,Marcel Dekker inc,,,TLC-R-7-S-132,RADAR,621.396.96 RAM
B21963,Taylor (JD),Ultrawideband Radar,CRC Press,2012.0,9781420089868,TLC-R-7-S-132,RADAR,621.396.96 TAY
B20868,Jian (L),MiMo Radar signal Processing,Wiley,2009.0,9780470178980,TLC-R-7-S-132,RADAR,621.396.96 JIA
B21960,Kang (WE),"Radar Systems Analysis , Design and Simulation",Artech House,2008.0,9781596933477,TLC-R-7-S-132,RADAR,621.396.96.KAN
B10197,Barton (DK),Radar Systems Analysis,Artech House,1976.0,0890060436,TLC-R-7-S-132,RADAR,621.396.96 BAR
B17517,Gould (FL),Rader for Technicaians,TAB Books,1995.0,,TLC-R-7-S-132,RADAR,621.396.96 GOU
B21076,Woodward (PM),"Probadility and Information Theory,Wit Applications to rader",Artech House,1980.0,0890061033,TLC-R-7-S-132,RADAR,621.396.96. WOO
B2038,Hughes (SR),Analog Automatic cortrol Loops in Radare and ew,Artech House,1988.0,0890063214,TLC-R-7-S-132,RADAR,621.396.96.HUG
B15123,Lothes (RN),Radar Vulnerability to Jamming,Artech House,1990.0,0890063885,TLC-R-7-S-132,RADAR,621.396.96 LOT
B20388,Hughes (SR),Automatic Gain Control,WEXFORD PRESS,2007.0,,TLC-R-7-S-132,RADAR,621.396.96 HUG
AUTO-00124,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B17099,Skolnik (MI),Radar Applications,IEEE Press,1988.0,0879422238,TLC-R-7-S-133,RADAR,621.396.96 SKO
B19765,Lacomme (P),Air and Spaceborne radar Systems,Scitech Publishing,2001.0,0852969813,TLC-R-7-S-133,RADAR,621.396.96 LAC
B20228,Zrnic (D),Polarimetric Doppler Weather Radars,National Severs Storms Laboratory,,,TLC-R-7-S-133,RADAR,621.396.96 ZAR
B12119,Lewis (BL),Aspects of radar Signal Processing,Artech House,1986.0,0890061911,TLC-R-7-S-133,RADAR,621.396.96 LEW
B13540,Carpentier (MH),Principles of modern radar systems,Artech House,1988.0,0890062854,TLC-R-7-S-133,RADAR,621.396.96 CAR
B15541,WIEgand (RJ),Rader Electronic Countermeasures System Design,Artech House,1991.0,0890063818,TLC-R-7-S-133,RADAR,621.396.96 WIE
B21689,Burch (D),Radar For Mariners,"McGraw-Hill Book Company ,Inc",2005.0,0071398678,TLC-R-7-S-133,RADAR,621.396.96 BUR
B11225,Knott (FE),Radar Cross Section,Artech House,1985.0,0890061742,TLC-R-7-S-133,RADAR,621.396 .96 KNO
B21924,Ozdemir ©,Inverse Synthetic Aperture radar imaging with matlab algrithms,Wiley,2012.0,978047028481,TLC-R-7-S-133,RADAR,621.396.96 OZD
B7742,west (J),Radar,Van nostrand Reinhold Company,1978.0,0442293534,TLC-R-7-S-133,RADAR,621.396.96 WES
B21179,Komarov (IV),Fundamentals Of Shart-Range FM Radar,Artech House,2003.0,1580531105,TLC-R-7-S-133,RADAR,621.396.96 KOM
B12179,COOk (CE),Radar Signals,Acadmic Press,1967.0,,TLC-R-7-S-133,RADAR,621.396.96.COO
B21875,Barton (DK),radar Equations for Modern Radar,Artech House,2013.0,9781608075218,TLC-R-7-S-133,RADAR,621.396.96 BAR
B14092,Currie (NC),Principles and Applications of Millimeter-Wave Radar,Artech House,1987.0,0890062021,TLC-R-7-S-133,RADAR,621.396.96.CUR
B19675,Soumekh (M),Synthetic Aperture Radar,A-wiely Interscince Publication,1999.0,0471297062,TLC-R-7-S-133,RADAR,621.396.96 SOU
B10113,Nathason (FE),Radar Design Priniciples,"McGraw-Hill Book Company ,Inc",1969.0,,TLC-R-7-S-133,RADAR,621.396.96 NAT
B22601,Ramachandra (KV),Kalman Filtering Techniques for Rader TRACKing,CRC Press,2000.0,,TLC-R-7-S-133,RADAR,621.396.96 RAM
B12352,Eaves (JL),Principles of Modern Radar,Van nostrand Reinhold Company,1987.0,0442221045,TLC-R-7-S-133,RADAR,621.396.96 EVA
B13542,Morris (GV),Airborne Pulsed Doppler rader,Artech House,1988.0,0890062722,TLC-R-7-S-133,RADAR,621.396.96 MOR
B7441,Sounnenberg (GJ),Radar and Eletronic Navigation,Newnes-Butter worths,1978.0,,TLC-R-7-S-133,RADAR,621.396.96 SON
B8071,Wylie (CFJ),The Use of radar At Sea,Hollis & Carter,,0370300912,TLC-R-7-S-133,RADAR,621.396.96 WYL
B14423,Unknown Author,Optical Fiber Sensonrs,Artech House,1989.0,0890063761,TLC-R-7-S-133,RADAR,621.396.96..
B12011,farina (A),Radar Data Processing,Reserch Studies Press Ltd,1985.0,0863800262,TLC-R-7-S-133,RADAR,621.396.96 FAR
B4933,Carpentier (MH),Radars New conceppts,Gordon And Breach Scince,1968.0,,TLC-R-7-S-133,RADAR,621.396.96 CAR
B20390,Toomay (JC),Radar Principles,Scitech Publishing,2004.0,,TLC-R-7-S-133,RADAR,621.396.96. TOO
B10882,MEEks (ML),Radar Propagtion at low Altituds,Artech House,1982.0,0380061181,TLC-R-7-S-133,RADAR,621.396.96 MEE
B20321,Mahafza (BR),Radar Systems Analysis And Design using Matlab,Chapmana & Hall Ltd,2005.0,1584885327,TLC-R-7-S-133,RADAR,621.396.96 MAH
B1584,Skolnik (MI),Introduction to Radar Systems,"McGraw-Hill Book Company ,Inc",1962.0,,TLC-R-7-S-133,RADAR,621.396.96 SKO
AUTO-00125,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B21819,Mathur (M),For Internal Circulation only,,2014.0,,TLC-R-7-S-134,RADAR,621.396.96 MAT
B12120,Hovanessia (SA),Introduction to Synthetic Array and Imaging Radars,Artech House,1980.0,0890060827,TLC-R-7-S-134,RADAR,621.396.96 HOV
B21723,Jaankiraman (M),Design of Multi-Frequency CW Radar,Scitech Publishing,2007.0,9781891121562,TLC-R-7-S-134,RADAR,621.396.96 JAN
B9272,EWELL (GW),Radar Transmitters,"McGraw-Hill Book Company ,Inc",1981.0,0070198438,TLC-R-7-S-134,RADAR,621.396.96 EWE
B11110,Wiley (RG),Electronic Intelligence,Artech House,1985.0,0890061386,TLC-R-7-S-134,RADAR,621.396.96 WIL
B6384,Barton (DK),Radars (V3),Artech House,1975.0,0890060320,TLC-R-7-S-134,RADAR,621.396.96 BAR
B13739,Kolosov (AA),Over-The- Horizon Radar,Artech House,1987.0,0890062331,TLC-R-7-S-134,RADAR,621.396.96.KOL
B20028,Brandwood (D),Fourier Transforms in radar And Signal Processing,Artech House,2003.0,1580531741,TLC-R-7-S-134,RADAR,621.396.96 BAR
B8322,Bachman (CG),Laser Radar Systems And Techniques,Artech House,1979.0,0890060738,TLC-R-7-S-134,RADAR,621.396.96 BAC
B22047,Guerci (JR),Space-Time Adaptive Processing For Radar,Artech House,2015.0,978160808202,TLC-R-7-S-134,RADAR,621.396.96 GUE
B6173,Constant (J),Defense Radar Systems Engineering,Spartan Books,1972.0,,TLC-R-7-S-134,RADAR,621.396.96 CON
B20169,Skolnik (MI),Introdution to Radar Systems,Tata McGraw-HILL Publishing Compay LTd,2001.0,,TLC-R-7-S-134,RADAR,621.396.96 SKO
B20309,Fourikis (N),"Advanced array Systems, Applications And RF Technologies",Acadmic Press,2000.0,0122629426,TLC-R-7-S-134,RADAR,621.396.96 FOU
B22577,Raghavan (S),Radar Meteorology,SPringer,2003.0,97848164165,TLC-R-7-S-134,RADAR,621.396.96 RAG
B22762,Zhang (Q),Micro-Doppler Characteristics of Radar Tagets,Elsevier,2017.0,97801280988615,TLC-R-7-S-134,RADAR,621.396.96 ZHA
B18412,Cole (HW),Undestanding Radar,Black well Scientific Publications,1985.0,0632031247,TLC-R-7-S-134,RADAR,621.396.96 COL
B12259,Nathason (FE),Radar Design Priniciples,"McGraw-Hill Book Company ,Inc",1969.0,,TLC-R-7-S-134,RADAR,621.396.96 NAT
B21793,Richard (J),Doppler Rader and Weather observations,DOVER Publications INC,1984.0,048645000,TLC-R-7-S-134,RADAR,621.396.96 RIC
B21916,Wirth (DW),Radar Techniques Using Array Antennas,The Electronics Division,2013.0,9781849196994,TLC-R-7-S-134,RADAR,621.396.96 WIR
B20216,PRAtt (T),Satellite Communications,Wiley,2003.0,8126508337,TLC-R-7-S-134,RADAR,621.396.96 PRA
B6972,Haykin (S),Detection and Estimation Applications to radar,Dowden Hutchinson,1976.0,,TLC-R-7-S-134,RADAR,621.396.96 HAY
B20891,Keshet (J),Automatic Speech and Speaker Recognition,Wiley,2009.0,9780470696835,TLC-R-7-S-134,RADAR,621.396.96 KES
B21985,Tuzlukow (V),Signal Processing in Radar Systems,CRC Press,2013.0,9787508400,TLC-R-7-S-134,RADAR,621.396.96 TUZ
B15230,Nathason (FE),Radar Design Priniciples,"McGraw-Hill Book Company ,Inc",1991.0,0070460523,TLC-R-7-S-134,RADAR,621.396.96 NAT
B22048,Guerci (JR),Cognitive Radar,Artech House,2010.0,9781596933644,TLC-R-7-S-134,RADAR,621.396.96 GUE
B22039,Richards (MA),Fundamentals of Radar Signal Pocessing,Tata McGraw-HILL Publishing Compay LTd,2005.0,0071444742,TLC-R-7-S-134,RADAR,621.396.96 RIC
B20847,Jeffrey (TW),Phased-Array Radar Design,Scitech Publishing,2009.0,9781891121692,TLC-R-7-S-134,RADAR,621.396.96 JEF
B10884,Wiley (RG),Electronic Intelligence,Artech House,1982.0,0890061246,TLC-R-7-S-134,RADAR,621.396.96 WIL
B10715,Currie (CN),Techniques of Radar Reflectivity Measurement,Artech House,1984.0,0890061319,TLC-R-7-S-134,RADAR,621.396.96 CUR
B13081,Nathason (FE),Radar Design Priniciples,"McGraw-Hill Book Company ,Inc",1969.0,,TLC-R-7-S-134,RADAR,621.396.96 NAT
B20999,IRS,Proceeding International Radar Symposum india,,2009.0,,TLC-R-7-S-134,RADAR,621.396.96 IRS
B9736,SYM,Proceeding International Radar Symposum india,"Hotel Ashok, India",1983.0,,TLC-R-7-S-134,RADAR,621.396.96 SYM
B18437,Hill (RT),ECM/ECCM for Conventional and LPI Radar,Reserch Studies Press Ltd,,,TLC-R-7-S-134,RADAR,621.396.96 HIL
B21750,Richards (MA),Fundamentals of Radar Signal Pocessing,Tata McGraw-HILL Publishing Compay LTd,2005.0,9780070607378,TLC-R-7-S-134,RADAR,621.396.96 RIC
B18840,collier (CG),Applications of Weather Radar Systems,Wiley,1996.0,0471960136,TLC-R-7-S-134,RADAR,621.396.96.COL
B19268,Golden (A),Radar Electronic Warfare,AIAA education Series,1987.0,0930403223,TLC-R-7-S-134,RADAR,621.396.96 GOL
B22114,Sabatini (S),Multifuncation Array Radar,Artech House,1994.0,0890065764,TLC-R-7-S-134,RADAR,621.396.96 SAB
AUTO-00126,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B20001,Unknown Author,International Radar Symposium India 2005,National Severs Storms Laboratory,,,TLC-R-7-S-135,RADAR,621.396.96 PRO
B20384,Brookner €,Aspects of Modern Radar,Artech House,1988.0,1580531288,TLC-R-7-S-135,RADAR,621.396.96 BRO
B14448,farina (A),Optimised Radar Processors,Peter Peregrinus ltd,1987.0,0863411185,TLC-R-7-S-135,RADAR,621.396.96 FAR
B7381,Brookner €,Radar Technology ELI Brookner,Artech House,1977.0,0890060215,TLC-R-7-S-135,RADAR,621.396.96 BRO
B6385,Barton (DK),Radar Resolution And Muitripath Effects,Raytheon Compay,1975.0,0890060336,TLC-R-7-S-135,RADAR,621.396.96 BAR
B22344,Stimson (DW),Introduction to Airborne Radar,Scitech Publishing,2014.0,9781613530221,TLC-R-7-S-135,RADAR,621.396 96 STI
B20383,Brookner €,Radar Technology ELI Brookner,Artech House,1977.0,158053127X,TLC-R-7-S-135,RADAR,621.396.96 BRO
B19252,Meikle (H),Modern Radar Systems,Artech House,2001.0,1580532942,TLC-R-7-S-135,RADAR,621.396.96 MEI
B6994,Pollon (GE),Radar Signal Simulation,Artech House,1976.0,0890060487,TLC-R-7-S-135,RADAR,621.396.96 POL
B21961,Tuzlukow (V),Signal Processing in Radar Systems,CRC Press,2013.0,9781439826072,TLC-R-7-S-135,RADAR,621.396.96 TUZ
B21177,Wang (BC),Digital Signal Processing Techiques and Applications in Radar Image Procesessing,Wiley,2008.0,978047018091,TLC-R-7-S-135,RADAR,621.396.96 WAN
B20451,Galati (G),Advanced Radar Teachniques and Systems,The Institution of Electroics,1993.0,9780863411724,TLC-R-7-S-135,RADAR,621.396.96 GAL
B22266,Kingsley (S),Understandig radar systems,Scitech Publishing,1999.0,9781891121050,TLC-R-7-S-135,RADAR,621.396.96 KIN
B11879,Barton (DK),Radar System Analysis,Artech House,1976.0,0890060436,TLC-R-7-S-135,RADAR,621.396.96 BAR
B21858,Bech (J),"Doppler radar Observations-Weather radar, Wind Profiler, Ionospheric Radar , and Other Advanced Applications",Intechopen .COM,2014.0,9789535104964,TLC-R-7-S-135,RADAR,621.396.96 BEC
B20190,Faulconbridge (IR),Radar Fundamentals,Argos Press,2002.0,0958023816,TLC-R-7-S-135,RADAR,621.396.96 FAU
B6242,Hovanessia (SA),Radar Detection and TRACKing Systems,Artech House,,,TLC-R-7-S-135,RADAR,621.396.96 HOV
B1677,Barton (DK),Radar & Systems Analysis,Artech House,,,TLC-R-7-S-135,RADAR,621.396.96 BAR
B14988,Mensa (DL),High Resoloution Radar Creoss Section Imaging,Artech House,1991.0,0890063893,TLC-R-7-S-135,RADAR,621.396.96 MEN
B22519,Charvat (GL),Small and Short-Range Radar Systems,CRC Press,2014.0,978138077638,TLC-R-7-S-135,RADAR,621.396.96 CHA
B11154,Hovanessia (SA),Radar Systems Design and Analysis,Artech House,1984.0,,TLC-R-7-S-135,RADAR,621.396.96 HOV
B14599,Chrzanowski (EJ),Active Radar Electronic Countermeasures,Artech House,1990.0,0890062900,TLC-R-7-S-135,RADAR,621.396.96 HOU
B12744,James (DA),Radar Homing Guidance for Tactical mIssiles,Macmillan Publishing,1986.0,0333409779,TLC-R-7-S-135,RADAR,621.396.96 JAM
B21396,Sherman (SM),Monopuse Principles and Techniques,Artech House,2011.0,9781608071746,TLC-R-7-S-135,RADAR,621.396.96 SHE
B12110,Leonou (AI),Monopulse Radar,Artech House,1986.0,089006217X,TLC-R-7-S-135,RADAR,621.396.96 LEO
B11743,Skolnik (MI),Introduction to Radar Systems,"McGraw-Hill Book Company ,Inc",1981.0,0070579091,TLC-R-7-S-135,RADAR,621.396.96 SKO
B22350,Budge (MC),Basic Radar Analysis,Artech House,2015.0,9781608078783,TLC-R-7-S-135,RADAR,621.396.96 BUD
B11852,Giessing (TD),Target Adaptive Matched Illumination radar,Peter Peregrinus ltd,1986.0,086341057X,TLC-R-7-S-135,RADAR,621.396.96 AJE
B22490,Subramanian (AK),Modelling radar Eccm A Systems Approach,,2003.0,,TLC-R-7-S-135,RADAR,621.396.96 SUB
B21060,Pace (EP),Detecting and Classifying Low Probability of intercet Radar,Artech House,2009.0,9781596932340,TLC-R-7-S-135,RADAR,621.396.96 PAC
B12007,Skolnik (MI),Introdution to Radar Systems,"McGraw-Hill Book Company ,Inc",1980.0,0070579091,TLC-R-7-S-135,RADAR,621.396.96 SKO
B11217,Schelher (DC),MTI Radar,Artech House,1978.0,0890060606,TLC-R-7-S-135,RADAR,621.396.96 SCH
AUTO-00127,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B16860,Desai (KD),Sony Colour Television,Tata McGraw-HILL Publishing Compay LTd,1990.0,,TLC-R-8-S-136,TELEVISION,621.397 DES
B14242,Firedman (J),Television Technology A Look Toward the 21st Century,Televison Engineers,1987.0,0940690136,TLC-R-8-S-136,TELEVISION,621.397 FIR
B17157,Lotia (M),Modern Satellite & Cable Tv Manual,BPB Publications,1994.0,,TLC-R-8-S-136,TELEVISION,621.397 LOT
B16895,IEC,International Standrd,,,,TLC-R-8-S-136,TELEVISION,621.397 IEC
B1441,Firedman (J),Television Technology in Transition,Televison Engineers,1988.0,0940690144,TLC-R-8-S-136,TELEVISION,621.397 FIR
B10298,ITAC,Studio Engineering Reserch,Technical Committee,,,TLC-R-8-S-136,TELEVISION,621.397 ITCA
B21176,Caputo (AC),Digital Video Surveillance and Security,Elsevier,2010.0,9781856177474,TLC-R-8-S-136,TELEVISION,621.397 CAP
B16631,Hutson (GH),Colour Television,"McGraw-Hill Book Company ,Inc",1990.0,0070841993,TLC-R-8-S-136,TELEVISION,621.397 HUT
B11113,Wurtzel (A),Television Production,International Student Ed,1983.0,0070721319,TLC-R-8-S-136,TELEVISION,621.397 WUR
B18665,Gulati (RR),Modern Television Practice,New age International ltd,1991.0,8122403379,TLC-R-8-S-136,TELEVISION,621.397 GUL
B22651,Bali (SP),Colour Television,Tata McGraw-HILL Publishing Compay LTd,1994.0,9780074600245,TLC-R-8-S-136,TELEVISION,621.397 BAL
B12137,Brown (JW),"AV Instruction Technology, Media , and Methods","McGraw-Hill Book Company ,Inc",1983.0,007008176X,TLC-R-8-S-136,TELEVISION,621.397 BRO
B6015,Weaver (LE),Telesivion Measurement Techniques,Peter Peregrinus ltd,1971.0,0091223115,TLC-R-8-S-136,TELEVISION,621.397 WEA
B11220,Chen (HZ),Space Remote Sensing Systems,Acadmic Press,1985.0,0121708810,TLC-R-8-S-136,TELEVISION,621.397 CHE
B10291,Avinash (CK),Digital Picture Processing,Acadmic Press,1982.0,0125973012,TLC-R-8-S-136,TELEVISION,621.397 KAK
B22398,Ho Sung (Y),Advance Vidio Coding for Next-Generation Mulitimedia Services,Intech,2012.0,9789535109097,TLC-R-8-S-136,TELEVISION,621.397 HOS
B19134,Collins (GW),Fundamentals of Digital Television Transmission,A Wiley-Interscience Publication,2001.0,0471391999,TLC-R-8-S-136,TELEVISION,621.397 COL
B19930,Eastman (GA),Television Waveform Processing Circuis,Circuit Concepts,1968.0,,TLC-R-8-S-136,TELEVISION,621.397 EAS
B4656,Murray (RD),Novel Imaging Systems,,1969.0,,TLC-R-8-S-136,TELEVISION,621.397 MUR
B15547,Benson (KB),Advaced Television,"McGraw-Hill Book Company ,Inc",1991.0,00702029839,TLC-R-8-S-136,TELEVISION,621.397 BEN
B651,Brunisma (AH),Remote Control by Radio,Philips Technical Library,1952.0,,TLC-R-8-S-136,TELEVISION,621.397 BUR
B11925,Cristol (Y),Soild Stse Vidio Camras,Pergamon Infoline Inc,1986.0,0080305792,TLC-R-8-S-136,TELEVISION,621.397 CRI
B15350,Benson (KB),HDTV Advanced Television,"McGraw-Hill Book Company ,Inc",1991.0,0070209839,TLC-R-8-S-136,TELEVISION,621.397 BEN
B18668,Guati (RR),Modern Television Practice,New Age International,1991.0,8122403379,TLC-R-8-S-136,TELEVISION,621.397 GUL
B18666,Guati (RR),Modern Television Practice,New Age International,1991.0,8122403379,TLC-R-8-S-136,TELEVISION,621.397 GUL
B16905,Guati (RR),Coloure Tv Prin & Practi,Wiley,1988.0,8122400086,TLC-R-8-S-136,TELEVISION,621.397 GUL
B5413,Vilips (VV),Data Modem,Artech House,1972.0,,TLC-R-8-S-136,TELEVISION,621.397 VIL
B20866,Koschan (A),Digital Color Image Processing,Wiley,2008.0,9780470147085,TLC-R-8-S-136,TELEVISION,621.397 KOS
B14936,Dhake (AM),Television Engineering,Tata McGraw-HILL Publishing Compay LTd,1979.0,,TLC-R-8-S-136,TELEVISION,621.397 DHA
B15146,Schalkoff (RJ),Digital Image Processing and Computer Vision,John Wiely & Sons,1989.0,,TLC-R-8-S-136,TELEVISION,621.397 SCH
B12078,McGinty (GP),Vidio Camers Operation and Servicing,BPB Publications,,,TLC-R-8-S-136,TELEVISION,621.397 MCG
B19744,Herndon,Basic Telvision and Vidio Systems,"McGraw-Hill Book Company ,Inc",1999.0,002800437X,TLC-R-8-S-136,TELEVISION,621.397 HER
B18723,Dambacher (P),Digital Terrstrial Televion Broadcasting,Springer,1997.0,3540639187,TLC-R-8-S-136,TELEVISION,621.397 DAM
AUTO-00128,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B19007,Fernzel (LE),Communication Electronics,"McGraw-Hill Book Company ,Inc",1995.0,0028048377,TLC-R-8-S-137,TELEVISION,621.397 FER
B10210,Baxes (GA),Digital image Processing,Prentice Hall,1984.0,0132140640,TLC-R-8-S-137,TELEVISION,621.397 BAX
B1429,Marcus ®,Digital Video,Televison Engineers,1980.0,0940690047,TLC-R-8-S-137,TELEVISION,621.397 MAR
B8488,Unknown Author,Television Measurements,Televison Engineers,1979.0,0903748371,TLC-R-8-S-137,TELEVISION,621.397 TERE
B9289,IEE,radio Receivers and Assoicated Systems,Institution of Electroinc and Radio Engineers,1981.0,0903748452,TLC-R-8-S-137,TELEVISION,621.397 IEE
B14383,Gulati (RR),Colour Television,Wiley,1988.0,8124400086,TLC-R-8-S-137,TELEVISION,621.397 GUI
B17570,Schaphorst ®,Vide conferncing and Vidio telephony,Artech House,1996.0,0890068445,TLC-R-8-S-137,TELEVISION,621.397 SCH
B5385,Cameron (JR),Motion Picture Projection and Sound Pictures,Ameron Publishing Company,1972.0,,TLC-R-8-S-137,TELEVISION,621.397 CAM
B17734,Whitaker (JC),Electronic Displays,"McGraw-Hill Book Company ,Inc",1994.0,0070696217,TLC-R-8-S-137,TELEVISION,621.397 WHI
B11992,Sutphin (SE),Undersanding Satellite Television Reception,Prentice Hall,1986.0,0133970951,TLC-R-8-S-137,TELEVISION,621.397 SUT
B6809,Patchett (GN),Colour Television,Norman Price,1967.0,0853800464,TLC-R-8-S-137,TELEVISION,621.397 PAT
B7183,Wilding (GR),Solied State Colour Television Circuits,Newnes-Butter worths,1976.0,040800228X,TLC-R-8-S-137,TELEVISION,621.397 WIL
B1550,Chironis (NP),Spring Design and Application,"McGraw-Hill Book Company ,Inc",1961.0,,TLC-R-8-S-137,TELEVISION,621.397 CHI
B598-DUP3,Unknown Author,National Conventeion,,1957.0,,TLC-R-8-S-137,TELEVISION,621.397 …..
B16171,Benson (KB),HDTV Advanced Television,"McGraw-Hill Book Company ,Inc",1991.0,0070209830,TLC-R-8-S-137,TELEVISION,621.397 BEN
B15914,Anil (M),Basic Telvision,CBS Publishers & Distributors,1981.0,,TLC-R-8-S-137,TELEVISION,621.397 ANI
B21175,Nilsson (F),Intelligent Network Vidio,CRC Press,2009.0,9781420061567,TLC-R-8-S-137,TELEVISION,621.397 NIL
B20869,Woods (JW),"Mulitidmensional Singal, Image And Video Processing",Elsevier,2006.0,9780120885169,TLC-R-8-S-137,TELEVISION,621.397 WOO
B19811,Watkinson (J),An Introduction to Digital Video,Focal Press,2001.0,0240516370,TLC-R-8-S-137,TELEVISION,621.397 WAT
B15540,Stephenson (DJ),Newnes Guide to Satellite TV,Newnes,1990.0,0750602155,TLC-R-8-S-137,TELEVISION,621.397 STE
B15922,Evans (B),Digital HDTV,IBC Technical Services LTD,1992.0,1852711892,TLC-R-8-S-137,TELEVISION,621.397 EVA
AUTO-00129,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
